3 
1120.00 	   0.00 	  40.00 	   0.00 	  10.00 	   1.00 	   0.00 	 1 
3760.00 	   0.00 	  40.00 	   0.00 	  10.00 	   1.00 	   0.00 	 1 
8000.00 	   0.00 	  40.00 	   0.00 	  10.00 	   1.00 	   0.00 	 1 
8080.00 	   0.00 	  40.00 	   0.00 	  10.00 	   1.00 	   0.00 	 1 
8160.00 	   0.00 	  40.00 	   0.00 	  10.00 	   1.00 	   0.00 	 1 
8240.00 	   0.00 	  40.00 	   0.00 	  10.00 	   1.00 	   0.00 	 1 
8320.00 	   0.00 	  40.00 	   0.00 	  10.00 	   1.00 	   0.00 	 1 
8400.00 	   0.00 	  40.00 	   0.00 	  10.00 	   1.00 	   0.00 	 1 
8480.00 	   0.00 	  40.00 	   0.00 	  10.00 	   1.00 	   0.00 	 1 
8560.00 	   0.00 	  40.00 	   0.00 	  10.00 	   1.00 	   0.00 	 1 
8640.00 	   0.00 	  40.00 	   0.00 	  10.00 	   1.00 	   0.00 	 1 
8720.00 	   0.00 	  40.00 	   0.00 	  10.00 	   1.00 	   0.00 	 1
